name,pop2022,pop2020,growth,density,aland_sqmi
Clermont,1051,1021,0.0294,356,2.9530
Ivey,1049,1037,0.0116,405,2.5910
Robins AFB,1039,1061,-0.0207,377,2.7550
Broxton,1034,1060,-0.0245,319,3.2460
Enigma,1014,1058,-0.0416,312,3.2530
Nahunta,1005,1013,-0.0079,357,2.8190
Hiawassee,1001,981,0.0204,619,1.6160
Sardis,995,995,0,643,1.5480
Woodbine,992,1062,-0.0659,395,2.5110
Tunnel Hill,985,963,0.0228,505,1.9510
Waleska,977,921,0.0608,619,1.5790
Fort Gaines,973,995,-0.0221,204,4.7750
Lake Park,972,932,0.0429,691,1.4070
Marshallville,968,1048,-0.0763,310,3.1240
Jeffersonville,965,977,-0.0123,264,3.6550
East Newnan,962,1022,-0.0587,340,2.8260
Norman Park,961,963,-0.0021,312,3.0790
Hagan,951,959,-0.0083,465,2.0440
Franklin,942,950,-0.0084,293,3.2100
Sunset Village,937,921,0.0174,195,4.8010
Alto,930,970,-0.0412,820,1.1340
Ray City,930,956,-0.0272,812,1.1460
Oglethorpe,929,995,-0.0663,466,1.9930
Meigs,906,928,-0.0237,582,1.5560
Buchanan,904,938,-0.0362,607,1.4890
Woodbury,898,908,-0.0110,441,2.0370
Lumber City,895,967,-0.0745,465,1.9260
Reynolds,894,926,-0.0346,449,1.9900
Rutledge,889,871,0.0207,272,3.2720
Dasher,886,890,-0.0045,195,4.5440
Homeland,882,886,-0.0045,353,2.4990
Bowman,874,872,0.0023,280,3.1170
Glenwood,870,850,0.0235,467,1.8620
Mountain City,868,904,-0.0398,478,1.8160
Baconton,844,856,-0.0140,432,1.9520
Flemington,841,825,0.0194,176,4.7660
Allenhurst,840,816,0.0294,767,1.0950
Crawford,819,821,-0.0024,703,1.1650
Shellman,817,861,-0.0511,259,3.1490
Lincoln Park,813,817,-0.0049,949,0.8570
Eton,806,824,-0.0218,641,1.2580
Milner,804,772,0.0415,388,2.0730
Cohutta,784,764,0.0262,167,4.6860
Fairmount,782,772,0.0130,428,1.8260
Greenville,778,794,-0.0202,332,2.3440
Roberta,775,813,-0.0467,520,1.4890
Screven,769,769,0,357,2.1570
Luthersville,756,776,-0.0258,239,3.1640
Pine Lake,756,752,0.0053,3176,0.2380
Patterson,753,749,0.0053,286,2.6370
Blythe,748,744,0.0054,262,2.8520
Williamson,747,681,0.0969,571,1.3090
Poulan,742,760,-0.0237,444,1.6730
Carnesville,741,713,0.0393,236,3.1430
Kingston,738,722,0.0222,586,1.2590
Bethlehem,737,715,0.0308,296,2.4920
Doerun,730,738,-0.0108,584,1.2500
Lenox,728,752,-0.0319,457,1.5940
Epworth,706,668,0.0569,684,1.0320
Talbotton,696,742,-0.0620,224,3.1050
Crooked Creek,695,685,0.0146,215,3.2310
Sycamore,688,692,-0.0058,696,0.9890
Yonah,687,657,0.0457,220,3.1270
Danielsville,672,654,0.0275,465,1.4460
Newborn,672,676,-0.0059,421,1.5950
Ochlocknee,672,672,0,726,0.9260
Dexter,671,655,0.0244,874,0.7680
East Ellijay,670,650,0.0308,197,3.4020
White,659,661,-0.0030,684,0.9640
Flovilla,641,643,-0.0031,327,1.9580
Colbert,638,630,0.0127,626,1.0190
Portal,638,638,0,319,2.0010
Phillipsburg,626,640,-0.0219,2039,0.3070
Ty Ty,625,641,-0.0250,793,0.7880
Gibson,624,630,-0.0095,609,1.0250
Pavo,622,622,0,353,1.7600
Waverly Hall,618,638,-0.0313,185,3.3370
Canon,611,643,-0.0498,196,3.1210
Blairsville,608,616,-0.0130,550,1.1060
Whitesburg,598,596,0.0034,216,2.7690
Dudley,597,593,0.0067,175,3.4080
Smithville,597,593,0.0067,238,2.5060
Milan,595,613,-0.0294,191,3.1120
Newton,592,602,-0.0166,203,2.9100
Mountain Park,591,583,0.0137,1279,0.4620
Riceboro,577,615,-0.0618,52,11.1190
Brooks,576,568,0.0141,134,4.2900
McIntyre,559,575,-0.0278,108,5.1830
Waco,540,536,0.0075,294,1.8350
Ailey,537,519,0.0347,249,2.1590
Helen,535,531,0.0075,247,2.1670
Plains,533,573,-0.0698,655,0.8140
Collins,532,540,-0.0148,522,1.0200
North High Shoals,532,552,-0.0362,220,2.4190
Adrian,530,552,-0.0399,385,1.3750
Coolidge,528,528,0,646,0.8170
Dearing,525,529,-0.0076,644,0.8150
Sky Valley,524,482,0.0871,173,3.0370
Lumpkin,521,891,-0.4153,329,1.5820
Warwick,520,504,0.0317,640,0.8120
Irwinton,519,531,-0.0226,165,3.1450
Oak Park,518,512,0.0117,73,7.0670
Leary,506,524,-0.0344,158,3.2080
Berlin,503,511,-0.0157,602,0.8360
Satilla,501,487,0.0287,167,3
Morven,494,506,-0.0237,286,1.7250
Menlo,482,480,0.0042,616,0.7830
Ephesus,479,471,0.0170,130,3.6940
Tignall,473,485,-0.0247,172,2.7540
Warm Springs,473,465,0.0172,315,1.5010
Hoboken,470,480,-0.0208,137,3.4280
Crawfordville,467,479,-0.0251,150,3.1150
Odum,455,463,-0.0173,224,2.0270
Attapulgus,454,454,0,570,0.7960
Offerman,452,450,0.0044,138,3.2710
Sumner,449,445,0.0090,253,1.7720
Mansfield,448,442,0.0136,410,1.0930
Arnoldsville,445,431,0.0325,262,1.6990
Alapaha,443,481,-0.0790,431,1.0270
Bowersville,440,444,-0.0090,135,3.2510
Pineview,440,454,-0.0308,226,1.9490
Lyerly,436,454,-0.0396,581,0.7510
Between,424,402,0.0547,359,1.1810
Tiger,424,422,0.0047,512,0.8280
Stillmore,421,439,-0.0410,136,3.0910
Whigham,420,428,-0.0187,358,1.1730
Arabi,419,447,-0.0626,67,6.2950
Midville,409,385,0.0623,206,1.9900
Uvalda,407,439,-0.0729,215,1.8930
Yatesville,402,394,0.0203,466,0.8630
Byromville,398,422,-0.0569,1099,0.3620
Molena,396,392,0.0102,212,1.8720
Jenkinsburg,395,391,0.0102,303,1.3020
Shiloh,394,402,-0.0199,180,2.1890
Stapleton,394,402,-0.0199,226,1.7440
Funston,392,402,-0.0249,343,1.1420
Ideal,389,407,-0.0442,340,1.1440
Bostwick,380,378,0.0053,122,3.1250
Concord,378,378,0,454,0.8330
Moreland,378,382,-0.0105,419,0.9030
Alamo,365,771,-0.5266,186,1.9590
