RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
395224,82,"Wichita, KS",Msa,KS,176600.0,182600.0,190933.0,200933.0,206567.0,208233.0,206233.0,202900.0,200600.0,198183.0,193883.0,190383.0,189833.0,194133.0,202133.0,210467.0,218833.0,223633.0,223300.0,219967.0,216333.0,215000.0,213167.0,208133.0,202917.0,201417.0,209617.0,219767.0,234433.0,248233.0,260633.0,264110.0,252143.0,240458.0,230648.0,228981.0,228300.0,234933.0,243267.0,247933.0,242933.0,232933.0,224967.0,220000.0,218333.0,221667.0,228300.0,238300.0,246600.0,256300.0,264300.0,269000.0,269000.0,269333.0,268000.0
395115,83,"Springfield, MA",Msa,MA,240755.0,240782.0,245478.0,254930.0,263951.0,268584.0,268584.0,264200.0,257701.0,251483.0,246849.0,241531.0,237520.0,235965.0,241564.0,251825.0,265506.0,274834.0,278223.0,277912.0,276077.0,273932.0,266936.0,261774.0,258665.0,262863.0,272688.0,285405.0,298123.0,308663.0,317991.0,324210.0,323277.0,321115.0,317286.0,311267.0,304133.0,304167.0,317667.0,338133.0,349800.0,351633.0,344966.0,338267.0,331267.0,320967.0,311000.0,305633.0,310967.0,310967.0,314967.0,319933.0,336567.0,346600.0,348300.0
394440,84,"Fort Myers, FL",Msa,FL,248067.0,248094.0,248094.0,249335.0,249332.0,249305.0,248037.0,247902.0,247654.0,247654.0,247516.0,246413.0,245752.0,245752.0,246854.0,247268.0,247268.0,247268.0,247130.0,246027.0,244897.0,245151.0,246502.0,250388.0,253305.0,258818.0,263201.0,264552.0,264579.0,265709.0,269596.0,271589.0,270487.0,270487.0,270974.0,270974.0,270115.0,272723.0,,,,,389937.0,396333.0,406000.0,421333.0,438000.0,448300.0,449967.0,464133.0,487500.0,512466.0,516633.0,509933.0,498267.0
394399,85,"Boise City, ID",Msa,ID,326300.0,342967.0,348300.0,354633.0,356500.0,361500.0,360133.0,354963.0,351597.0,348297.0,344963.0,341630.0,340885.0,344888.0,354555.0,368600.0,381263.0,388263.0,388297.0,384933.0,380600.0,374930.0,371297.0,368963.0,372633.0,379480.0,388513.0,393847.0,397330.0,403297.0,413293.0,421597.0,426627.0,431597.0,443397.0,453033.0,461033.0,469237.0,482937.0,504937.0,528092.0,550725.0,560089.0,558355.0,550387.0,547690.0,547965.0,556600.0,576633.0,610633.0,645633.0,668967.0,668297.0,643330.0,613297.0
395160,86,"Toledo, OH",Msa,OH,126933.0,125600.0,129967.0,136633.0,144633.0,148267.0,149900.0,147900.0,145900.0,143767.0,142433.0,141100.0,139900.0,141567.0,149900.0,162433.0,175800.0,183167.0,183967.0,180100.0,172767.0,167433.0,162933.0,161233.0,159859.0,159859.0,161526.0,166600.0,178639.0,190306.0,200273.0,208233.0,208250.0,206583.0,194917.0,188233.0,183233.0,188267.0,194933.0,198300.0,198133.0,196467.0,194800.0,188267.0,179633.0,171300.0,164633.0,158267.0,151600.0,146633.0,150000.0,160000.0,170000.0,173333.0,170833.0
394816,87,"Madison, WI",Msa,WI,293233.0,300233.0,309600.0,316267.0,318967.0,319600.0,319600.0,316567.0,311600.0,304967.0,301633.0,301633.0,306600.0,316600.0,328233.0,334900.0,338233.0,337933.0,336300.0,332967.0,328300.0,326600.0,324933.0,324900.0,326567.0,333233.0,341567.0,348233.0,351600.0,354633.0,354633.0,351267.0,343267.0,341633.0,343300.0,351600.0,359700.0,366967.0,370300.0,371500.0,374233.0,377567.0,379267.0,377600.0,374400.0,373400.0,375300.0,381867.0,392233.0,402000.0,410300.0,413267.0,413300.0,411667.0,409700.0
394766,88,"Lakeland, FL",Msa,FL,228979.0,229665.0,231437.0,234871.0,236588.0,236931.0,237165.0,237130.0,235929.0,233944.0,231918.0,231368.0,231368.0,231712.0,231746.0,233326.0,236725.0,239764.0,241275.0,240516.0,239503.0,238164.0,237206.0,236893.0,237233.0,238985.0,241388.0,242422.0,242345.0,242228.0,244289.0,247078.0,249945.0,251895.0,253491.0,255715.0,257987.0,260648.0,265470.0,275136.0,,299133.0,306167.0,310033.0,313667.0,318667.0,323300.0,327333.0,330667.0,336598.0,343135.0,354769.0,367137.0,377930.0,381162.0
394931,89,"Ogden, UT",Msa,UT,340598.0,349252.0,363119.0,376326.0,383131.0,386259.0,386919.0,383625.0,378759.0,372851.0,371113.0,371148.0,377091.0,385432.0,395511.0,404200.0,407675.0,404547.0,398986.0,394121.0,388039.0,377925.0,370765.0,369893.0,378964.0,389794.0,398486.0,399841.0,404512.0,414939.0,430579.0,437842.0,441283.0,442443.0,448174.0,453917.0,460073.0,468073.0,478957.0,493617.0,508950.0,522983.0,529500.0,531133.0,530130.0,528963.0,528101.0,533938.0,546104.0,568633.0,582433.0,595267.0,600300.0,601667.0,586333.0
394528,90,"Daytona Beach, FL",Msa,FL,269600.0,270267.0,271933.0,275267.0,280133.0,284833.0,287833.0,287300.0,284267.0,280767.0,277300.0,275333.0,274333.0,274500.0,276500.0,280800.0,285633.0,288600.0,287680.0,284480.0,280680.0,277970.0,277003.0,277503.0,278333.0,281000.0,284250.0,284550.0,283550.0,282300.0,285500.0,287833.0,289500.0,290830.0,292830.0,294493.0,296329.0,300296.0,305267.0,313933.0,321298.0,329665.0,334632.0,338300.0,342967.0,347997.0,352997.0,353330.0,354333.0,361330.0,373964.0,387930.0,398933.0,408463.0,411797.0
394531,91,"Des Moines, IA",Msa,IA,273146.0,277543.0,283685.0,288502.0,290571.0,290862.0,290862.0,288599.0,285366.0,282133.0,280460.0,278844.0,277260.0,277672.0,280291.0,283523.0,284978.0,285041.0,282746.0,278349.0,272467.0,265064.0,259002.0,254153.0,254250.0,258372.0,263544.0,267424.0,270025.0,273669.0,276158.0,275497.0,272790.0,270820.0,270298.0,270693.0,272193.0,275560.0,281240.0,289240.0,299237.0,307997.0,315663.0,317633.0,317600.0,315267.0,316630.0,319993.0,326657.0,336627.0,346613.0,354950.0,354980.0,356660.0,354960.0
